code,name,six_dim_score,change_pct,volume_ratio,close,six_dim_details,open,high,low,volume,turnover,ma5,ma10,ma20,rsi_6,bias_20,is_yang,body_ratio,upper_shadow_ratio,lower_shadow_ratio,close_position,amplitude
002345,潮宏基,8,9.975673183466984,1.670976322611443,13.5600004196167,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.67 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅11.2% (0)', '尾盘': '✅ 收于高位100% (+2)'}",12.260000228881836,13.5600004196167,12.180000305175781,40788260.0,553088822.715435,12.668000030517579,13.307999992370606,13.27649998664856,52.994023260515256,2.1353552009433234,True,94.2029045600141,0.0,5.797095439985902,100.0,11.192215109326039
300448,浩云科技,8,4.184096244488566,1.4621442330219327,9.960000038146973,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.46 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.1% (+1)', '尾盘': '🟡 收于中上76% (+1)'}",9.5600004196167,10.119999885559082,9.4399995803833,55310102.0,550888618.029913,9.460000038146973,9.414000034332275,9.299499940872192,53.93259450351332,7.102533485395488,True,58.82344691402349,23.529378765609398,17.64717432036711,76.4706212343906,7.11297359130289
300483,首华燃气,8,10.981153623667977,1.617863413746661,17.079999923706055,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.62 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅14.8% (0)', '尾盘': '✅ 收于高位86% (+2)'}",15.119999885559082,17.399999618530273,15.119999885559082,45583258.0,778562043.1622734,15.982000160217286,16.58199987411499,16.435999965667726,38.31418128510737,3.91822803226786,True,85.96492402184583,14.035075978154163,0.0,85.96492402184583,14.814812749243458
002339,积成电子,7,9.999998355733991,0.9098978203628344,12.760000228881836,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.91 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅9.3% (0)', '尾盘': '✅ 收于高位100% (+2)'}",11.710000038146973,12.760000228881836,11.680000305175781,65555726.0,836491078.7645149,12.163999938964844,11.921000003814697,11.15649995803833,64.82412614189334,14.372789646166527,True,97.22224675088435,0.0,2.7777532491156434,100.0,9.310343863706134
002289,*ST宇顺,7,0.44346209017642835,0.5596757825893568,27.18000030517578,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.56 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.8% (+1)', '尾盘': '✅ 收于高位85% (+2)'}",26.549999237060547,27.329999923706055,26.299999237060547,1230102.0,33434172.73539734,26.681999969482423,27.349999618530273,28.04199981689453,41.96430649480106,-3.0739587666619235,True,61.16511146871302,14.563060051813185,24.271828479473793,85.43693994818682,3.806358857995777
002957,科瑞技术,7,10.015293786374327,1.1034838266918807,28.780000686645508,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比1.10 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅12.3% (0)', '尾盘': '✅ 收于高位100% (+2)'}",25.549999237060547,28.780000686645508,25.549999237060547,38614771.0,1111333135.894659,25.638000106811525,24.474999809265135,24.078999996185303,96.061901119917,19.52323888535636,True,100.0,0.0,0.0,100.0,12.347100414469194
300138,晨光生物,7,2.8085744415419134,1.6163951313140625,13.90999984741211,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.62 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中5.0% (+1)', '尾盘': '🟡 收于中上67% (+1)'}",13.489999771118164,14.130000114440918,13.460000038146973,18539950.0,257890701.67102814,13.57800006866455,13.607999992370605,13.639499950408936,76.40444261091793,1.9832097803194246,True,62.686571413117434,32.835857011498184,4.477571575384387,67.16414298850182,4.951959272114584
300193,佳士科技,7,1.5822845933303151,1.5178050062378687,9.630000114440918,"{'趋势': '✅ 多头排列 (+2)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.52 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中5.5% (+1)', '尾盘': '❌ 收于低位44% (0)'}",9.479999542236328,9.920000076293945,9.399999618530273,25468904.0,245265548.43468475,9.513999938964844,9.432000064849854,9.391000032424927,70.29701754949191,2.5449907484908936,True,28.846238491728716,55.76917433884753,15.38458716942376,44.23082566115248,5.485237161108596
300497,富祥药业,7,4.0184429803289285,1.6441456246088035,15.789999961853027,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.64 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.6% (+1)', '尾盘': '🟡 收于中上61% (+1)'}",15.079999923706055,16.239999771118164,15.079999923706055,30295291.0,478362643.73432636,15.25,15.564999961853028,16.123500061035156,56.84211952866347,-2.068410071756572,True,61.20690789149158,38.79309210850842,0.0,61.20690789149158,7.6416325697740275
300523,辰安科技,7,3.3061336202081653,1.3774655142522223,24.059999465942383,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.38 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中5.7% (+1)', '尾盘': '🟡 收于中上77% (+1)'}",23.200000762939453,24.360000610351562,23.030000686645508,4633632.0,111485183.44537354,23.246000289916992,23.646000099182128,24.235999870300294,50.46152022320114,-0.7261941133016278,True,64.66156032599888,22.556478317173454,12.781961356827662,77.44352168282654,5.710604857981562
