code,name,close,prev_close,open,high,low,change_pct,volume,turnover,volume_ratio,ma5,ma10,ma20,rsi_6,bias_20,is_yang,body_ratio,upper_shadow_ratio,lower_shadow_ratio,close_position,amplitude,six_dim_score,six_dim_details
300165,ST天瑞,5.619999885559082,5.46999979019165,5.159999847412109,5.650000095367432,5.460000038146973,2.7422321959938527,16046740.0,90182676.96359634,1.606049967248941,5.349999904632568,5.173999977111817,5.154999995231629,100.0,9.020366455045156,True,242.10521032276847,15.789579354463068,-157.89478967723153,84.21042064553693,3.4734929526167684,10,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.61 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.5% (+1)', '尾盘': '✅ 收于高位84% (+2)', '建议': '建议 5.35 以下低吸'}"
000818,航锦科技,23.760000228881836,23.6200008392334,20.479999542236328,24.040000915527344,22.90999984741211,0.5927154304579663,78402661.0,1862847243.304945,2.0248958329760613,22.14000015258789,21.862999725341798,21.49449987411499,70.13575402625324,10.539907269464328,True,290.26527312193855,24.7787984052555,-215.04407152719403,75.2212015947445,4.784085639143056,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比2.02 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.8% (+1)', '尾盘': '🟡 收于中上75% (+1)', '建议': '建议 22.91 以下低吸'}"
000833,粤桂股份,20.420000076293945,19.420000076293945,18.75,20.639999389648438,19.489999771118164,5.149330566793886,34250944.0,699404279.0931396,1.508750507355685,19.5939998626709,19.867999839782716,20.97999973297119,56.82540662885876,-2.6692071678017038,True,145.21744610909042,19.130381420096164,-64.34782752918659,80.86961857990383,5.921728187499245,9,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.51 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中5.9% (+1)', '尾盘': '✅ 收于高位81% (+2)', '建议': '建议 19.59 以下低吸'}"
002248,华东数控,12.739999771118164,12.359999656677246,11.949999809265137,12.779999732971191,12.3100004196167,3.0744346682536547,24851200.0,316604282.3120117,1.888535433597437,12.329999923706055,12.191999912261963,12.391499948501586,67.592614668408,2.8124103140453096,True,168.0853438305298,8.510642615100542,-76.59598644563033,91.48935738489946,3.8025835470034526,9,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.89 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.8% (+1)', '尾盘': '✅ 收于高位91% (+2)', '建议': '建议 12.33 以下低吸'}"
603370,华新精科,51.439998626708984,49.970001220703125,50.0,51.439998626708984,49.630001068115234,2.9417597960690527,2602262.0,133860353.70633698,1.8077390115539156,49.94600067138672,49.8930004119873,50.322000122070314,72.49284607195244,2.221689324602852,True,79.55804248861912,0.0,20.441957511380878,100.0,3.6221683297535083,9,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.81 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.6% (+1)', '尾盘': '✅ 收于高位100% (+2)', '建议': '建议 49.95 以下低吸'}"
000657,中钨高新,52.369998931884766,47.61000061035156,44.63999938964844,52.369998931884766,47.90999984741211,9.997895947302855,93867171.0,4915823645.009045,1.2043575593293496,48.130000305175784,47.80200004577637,45.589999961853025,77.37973547779002,14.871680139734234,True,173.31841096443438,0.0,-73.31841096443435,100.0,9.367777835110855,8,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.20 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅9.4% (0)', '尾盘': '✅ 收于高位100% (+2)', '建议': '建议 48.13 以下低吸'}"
000688,国城矿业,31.010000228881836,28.43000030517578,25.6299991607666,31.25,28.360000610351562,9.074920492478352,27677938.0,858292863.7149773,1.436456364340623,28.272000122070313,28.047999954223634,27.972000122070312,65.42552894680375,10.860861195315445,True,186.15924582495157,8.304492103970981,-94.46373792892254,91.69550789602901,10.165316069737441,8,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.44 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅10.2% (0)', '尾盘': '✅ 收于高位92% (+2)', '建议': '建议 28.27 以下低吸'}"
000877,天山股份,5.449999809265137,5.349999904632568,5.21999979019165,5.480000019073486,5.309999942779541,1.8691571292548694,21858356.0,119128036.03084946,1.2410733091392516,5.32199993133545,5.351999950408936,5.461499929428101,85.71425791038385,-0.21056706603616304,True,135.29406814841408,17.64717432036711,-52.941242468781205,82.35282567963289,3.177571576155396,8,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.24 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.2% (+1)', '尾盘': '✅ 收于高位82% (+2)', '建议': '建议 5.32 以下低吸'}"
000909,ST数源,5.75,5.519999980926514,5.53000020980835,5.789999961853027,5.519999980926514,4.166667026598097,5097589.0,29311136.75,1.4064284646549936,5.55600004196167,5.464000082015991,5.565500044822693,95.45451589853778,3.3150651997377643,True,81.48140953073923,14.814801732861676,3.7037887363991024,85.18519826713832,4.891304019193042,8,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.41 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.9% (+1)', '尾盘': '✅ 收于高位85% (+2)', '建议': '建议 5.56 以下低吸'}"
000951,中国重汽,20.489999771118164,20.139999389648438,19.170000076293945,20.56999969482422,20.040000915527344,1.7378371006784632,15451363.0,316598424.33346367,0.883417606797368,19.871999740600586,19.596999740600587,18.561999797821045,68.25396985583885,10.386811735249793,True,249.05711982495538,15.094359993090345,-164.15147981804571,84.90564000690965,2.631572966031389,8,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.88 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中2.6% (+1)', '尾盘': '✅ 收于高位85% (+2)', '建议': '建议 19.87 以下低吸'}"
