code,name,close,open,high,low,change_pct,volume,turnover,volume_ratio,ma5,ma10,ma20,bias_20,rsi_6,bb_lower,distance_to_lower,is_yang,body_ratio,upper_shadow_ratio,lower_shadow_ratio,is_hammer,is_v_reversal,consecutive_down,oversold_score,oversold_details
600183,Shengyi Technology C,64.36000061035156,64.5199966430664,65.08999633789062,62.5,-2.2775584362266725,35442162.0,2281057567.952179,0.8280760642214748,67.08600006103515,69.80599975585938,69.27849998474122,-7.099604315152562,14.550016202047559,63.922923551859796,0.683756365018524,False,6.177461735144753,22.00774134253968,71.81479692231557,True,False,5,6,"{'乖离率': '❌ 未超跌-7.1% (0)', 'RSI': '✅ 极度超卖RSI=14.6 (+3)', 'K线': '✅ 金针探底(下影72%) (+2)', '量能': '❌ 量能平淡0.83x (0)', '布林带': '✅ 触及下轨 (+1)'}"
600476,Hunan Copote Science,14.15999984741211,13.949999809265137,14.239999771118164,13.6899995803833,-0.7708521851638488,17475214.0,247449027.57349396,1.605440671209483,15.603999900817872,16.291999912261964,16.523999834060668,-14.306463388940982,7.6056442457459355,14.760267071725906,-4.066777527783634,True,38.18181187653563,14.545435629606896,47.272752493857475,False,False,3,6,"{'乖离率': '🟡 轻度超跌-14.3% (+1)', 'RSI': '✅ 极度超卖RSI=7.6 (+3)', 'K线': '❌ 继续下跌-0.77% (0)', '量能': '✅ 突然放量1.61x (+1)', '布林带': '✅ 触及下轨 (+1)'}"
600557,Jiangsu Kanion Pharm,14.380000114440918,14.399999618530273,14.430000305175781,14.109999656677246,-0.2773922443924678,7750060.0,111445863.68692398,1.270738955052065,14.434000015258789,14.684000015258789,14.790999841690063,-2.7787149729438627,19.54024122482491,14.266609667407874,0.794796028464178,False,6.249832362276297,9.375195577344321,84.37497206037938,True,False,1,6,"{'乖离率': '❌ 未超跌-2.8% (0)', 'RSI': '✅ 极度超卖RSI=19.5 (+3)', 'K线': '✅ 金针探底(下影84%) (+2)', '量能': '❌ 量能平淡1.27x (0)', '布林带': '✅ 触及下轨 (+1)'}"
600570,Hundsun Technologies,30.440000534057617,30.350000381469727,30.56999969482422,29.81999969482422,-0.6851519970189354,35041639.0,1066667509.8742542,0.8591502233683649,30.915999984741212,31.657999992370605,32.25750017166138,-5.6343474476687945,15.094332832504108,29.73771789165484,2.361588891795415,True,12.000020345052082,17.333221435546875,70.66675821940103,True,False,1,6,"{'乖离率': '❌ 未超跌-5.6% (0)', 'RSI': '✅ 极度超卖RSI=15.1 (+3)', 'K线': '✅ 金针探底(下影71%) (+2)', '量能': '❌ 量能平淡0.86x (0)', '布林带': '✅ 触及下轨 (+1)'}"
688584,股票688584,23.239999771118164,23.280000686645508,23.389999389648438,22.920000076293945,-0.6837600428224228,3354675.0,77962646.23217583,0.7046774657099714,23.637999725341796,24.4129997253418,24.364500045776367,-4.615322590430652,13.50482295392436,22.349247799381992,3.9856015725093155,False,8.510845524826005,23.40401355436966,68.08514092080433,True,False,1,6,"{'乖离率': '❌ 未超跌-4.6% (0)', 'RSI': '✅ 极度超卖RSI=13.5 (+3)', 'K线': '✅ 金针探底(下影68%) (+2)', '量能': '❌ 量能平淡0.70x (0)', '布林带': '✅ 触及下轨 (+1)'}"
600021,Shanghai Electric Po,21.219999313354492,21.1200008392334,21.290000915527344,20.940000534057617,-0.04710423503279328,46131547.0,978911395.6639805,0.6639109295304532,21.339999771118165,22.382999992370607,22.077999973297118,-3.8862245718831394,11.627877749298975,19.978038795548706,6.216628821856663,True,28.570961466150045,20.000435964926623,51.42860256892333,True,False,1,5,"{'乖离率': '❌ 未超跌-3.9% (0)', 'RSI': '✅ 极度超卖RSI=11.6 (+3)', 'K线': '✅ 金针探底(下影51%) (+2)', '量能': '❌ 量能平淡0.66x (0)', '布林带': '🟡 接近下轨 (0)'}"
600120,Zhejiang Orient Hold,6.429999828338623,6.400000095367432,6.440000057220459,6.340000152587891,0.4687458206900087,46622288.0,299781303.83675385,0.7958196033024066,6.439999961853028,6.594000005722046,6.749249982833862,-4.730157503533347,28.571404242999648,6.19300053662975,3.8268895716558218,True,29.999761581193525,10.000238418806475,60.0,True,False,0,5,"{'乖离率': '❌ 未超跌-4.7% (0)', 'RSI': '✅ 超卖RSI=28.6 (+2)', 'K线': '✅ 金针探底(下影60%) (+2)', '量能': '❌ 量能平淡0.80x (0)', '布林带': '✅ 触及下轨 (+1)'}"
600143,Kingfa Sci. & Tech. ,18.700000762939453,18.75,18.829999923706055,18.510000228881836,-1.0581950244842009,41165579.0,769796358.7068443,0.5905422934215782,18.84799995422363,19.692999839782715,20.03050003051758,-6.642366718509457,21.969699159032444,18.16731131117535,2.932131467557486,False,15.62477648236893,25.0,59.37522351763107,True,False,1,5,"{'乖离率': '❌ 未超跌-6.6% (0)', 'RSI': '✅ 超卖RSI=22.0 (+2)', 'K线': '✅ 金针探底(下影59%) (+2)', '量能': '❌ 量能平淡0.59x (0)', '布林带': '✅ 触及下轨 (+1)'}"
600171,Shanghai Belling Co.,31.450000762939453,31.540000915527344,31.540000915527344,31.030000686645508,-1.2248724490560001,14304297.0,449870151.56331253,0.6445877679140712,32.11599998474121,32.969000053405765,33.06799993515015,-4.892945371306891,25.258795329165864,31.18634762393235,0.8454120443548742,False,17.64708082292707,0.0,82.35291917707293,True,False,1,5,"{'乖离率': '❌ 未超跌-4.9% (0)', 'RSI': '✅ 超卖RSI=25.3 (+2)', 'K线': '✅ 金针探底(下影82%) (+2)', '量能': '❌ 量能平淡0.64x (0)', '布林带': '✅ 触及下轨 (+1)'}"
600211,Tibet Rhodiola Pharm,41.970001220703125,41.90999984741211,42.0,41.290000915527344,0.16706370471367282,2430939.0,102026512.79745483,1.0458215562525006,42.104000854492185,42.92700042724609,43.638000297546384,-3.822354520074204,21.843008745171403,41.48483815978499,1.169494886419601,True,8.45090854385833,4.22518563093025,87.32390582521143,True,False,0,5,"{'乖离率': '❌ 未超跌-3.8% (0)', 'RSI': '✅ 超卖RSI=21.8 (+2)', 'K线': '✅ 金针探底(下影87%) (+2)', '量能': '❌ 量能平淡1.05x (0)', '布林带': '✅ 触及下轨 (+1)'}"
