code,name,close,open,high,low,change_pct,volume,turnover,volume_ratio,ma5,ma10,ma20,rsi_6,bias_20,is_yang,body_ratio,upper_shadow_ratio,lower_shadow_ratio,close_position,amplitude,six_dim_score,six_dim_details
600123,Shanxi Lanhua Sci-Te,6.409999847412109,6.019999980926514,6.449999809265137,6.010000228881836,6.833330790201823,74471223.0,477360528.06659317,1.6115153023643192,6.181999969482422,6.14399995803833,6.113999962806702,71.5517092544985,4.841345868597709,True,88.63641782245601,9.090909090909092,2.272673086634892,90.9090909090909,7.33332633972168,10,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.61 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.3% (+1)', '尾盘': '✅ 收于高位91% (+2)'}"
600009,Shanghai Internation,31.190000534057617,30.43000030517578,31.200000762939453,30.3700008392334,2.1283549412069482,30104980.0,938974342.2777939,1.5300216416000114,30.79800033569336,30.95800018310547,31.563499927520752,56.90607210826145,-1.1833269261038897,True,91.56630105317826,1.2048469639832797,7.2288519828384565,98.79515303601673,2.7177468854758966,9,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.53 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中2.7% (+1)', '尾盘': '✅ 收于高位99% (+2)'}"
600048,Poly Developments an,7.190000057220459,6.760000228881836,7.21999979019165,6.75,5.735291993329328,397289994.0,2856515079.593116,1.2839429101209197,6.908000087738037,6.788000059127808,6.611000061035156,69.03226064469607,8.758130250185513,True,91.48936601935148,6.38292475810649,2.12770922254203,93.61707524189352,6.91176142659576,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.28 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中6.9% (+1)', '尾盘': '✅ 收于高位94% (+2)'}"
600185,Zhuhai Zhumian Group,7.079999923706055,6.699999809265137,7.139999866485596,6.659999847412109,5.514156236298038,67278857.0,476334302.42703056,1.5999487636716196,6.81599988937378,6.902999925613403,6.682499980926513,51.80721299570962,5.948371775744157,True,79.16668736272305,12.499987582366165,8.333325054910777,87.50001241763383,7.1535024790557635,9,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.60 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.2% (+1)', '尾盘': '✅ 收于高位88% (+2)'}"
600285,Henan Lingrui Pharma,22.399999618530273,21.8799991607666,22.540000915527344,21.729999542236328,2.376601817682395,13084887.0,293101463.80851173,1.2325659180721007,21.90999984741211,21.57800006866455,21.33800001144409,74.74751658818906,4.977034429265189,True,64.19747853647739,17.284081436584298,18.51844002693831,82.7159185634157,3.7020173873838296,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.23 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.7% (+1)', '尾盘': '✅ 收于高位83% (+2)'}"
600330,"TDG Holding Co., Ltd",16.940000534057617,15.699999809265137,16.940000534057617,15.699999809265137,10.000006192690519,281488939.0,4768422776.991312,1.7950539210684144,14.446000099182129,13.773000049591065,13.406000089645385,86.00746427991903,26.361333886174197,True,100.0,0.0,0.0,100.0,8.051952957845735,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.80 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅8.1% (0)', '尾盘': '✅ 收于高位100% (+2)'}"
600348,Shan Xi Hua Yang Gro,9.720000267028809,9.180000305175781,9.729999542236328,9.149999618530273,5.882352330081837,99115948.0,963407041.0268135,1.2874372627944048,9.3560001373291,9.349000167846679,9.017500066757203,60.56337523679553,7.790409704141353,True,93.10345394574578,1.724013193592623,5.172532860661587,98.27598680640737,6.3180817475468345,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.29 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中6.3% (+1)', '尾盘': '✅ 收于高位98% (+2)'}"
600508,Shanghai Datun Energ,13.039999961853027,12.130000114440918,13.069999694824219,12.130000114440918,7.413505709044658,21472639.0,280003211.7408838,1.372179272034037,12.610000038146973,12.529999923706054,12.415000009536744,67.07318018713732,5.034232394975285,True,96.80853762094675,3.191462379053245,0.0,96.80853762094675,7.742994677099162,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.37 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.7% (+1)', '尾盘': '✅ 收于高位97% (+2)'}"
600546,Shanxi Coal Internat,11.670000076293945,10.680000305175781,11.670000076293945,10.65999984741211,9.990579207508302,78427990.0,915254649.2835808,1.6014231881623195,11.109999847412109,10.972999954223633,10.714999866485595,71.5999984741211,8.912741219861351,True,98.01975710581627,0.0,1.980242894183721,100.0,9.519323860168152,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '✅ 放量上涨 量比1.60 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅9.5% (0)', '尾盘': '✅ 收于高位100% (+2)'}"
600585,Anhui Conch Cement C,25.239999771118164,24.31999969482422,25.34000015258789,24.270000457763672,3.5699585634980755,82552924.0,2083635782.8651352,1.2874935728975343,24.49200019836426,24.204999923706055,23.45650005340576,68.2352851418888,7.603434926999894,True,85.9813400643151,9.34583270943407,4.672827226250829,90.65416729056594,4.390642831253499,9,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.29 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.4% (+1)', '尾盘': '✅ 收于高位91% (+2)'}"
